"1 Spadina Crescent, Toronto, ON, Canada"
"Schwartz Reisman Innovation Centre, Toronto, ON, Canada"
"Sidney Smith Hall, Toronto, ON, Canada"
"Simcoe Hall, Toronto, ON, Canada"
"Sir Daniel Wilson Residence, Toronto, ON, Canada"
"Soldiers' Tower, Toronto, ON, Canada"
"Oak House Student Residence, Toronto, ON, Canada"
"St. Basil's Church, Toronto, ON, Canada"
"St. Hilda's College, Toronto, ON, Canada"
"Stephenson House, Toronto, ON, Canada"
"Stewart Building, Toronto, ON, Canada"
"Student Commons, Toronto, ON, Canada"
"Sullivan House, Toronto, ON, Canada"
"Sussex Court, Toronto, ON, Canada"
"Teefy Hall, Toronto, ON, Canada"
"Terrence Donnelly Centre for Cellular and Biomolecular Research, Toronto, ON, Canada"
"Thomas Fisher Rare Book Library, Toronto, ON, Canada"
"Toronto School of Theology, Toronto, ON, Canada"
"123 St. George Street, Toronto, ON, Canada"
"Trinity College, Toronto, ON, Canada"
"University College, Toronto, ON, Canada"
"University College Union, Toronto, ON, Canada"
"371 Bloor Street West, Toronto, ON, Canada"
"Varsity Arena, Toronto, ON, Canada"
"Varsity Pavilion, Toronto, ON, Canada"
"Varsity Centre, Toronto, ON, Canada"
"Victoria College, Toronto, ON, Canada"
"Wallberg Building, Toronto, ON, Canada"
"Warren Stevens Building, Toronto, ON, Canada"
"Wetmore Hall, Toronto, ON, Canada"
"Whitney Hall, Toronto, ON, Canada"
"Wilson Hall, Toronto, ON, Canada"
"Windle House, Toronto, ON, Canada"
"Woodsworth College, Toronto, ON, Canada"
"Woodsworth College Residence, Toronto, ON, Canada"
"Wycliffe College, Toronto, ON, Canada"
"Keep@Downsview, Toronto, ON, Canada"
